Country,Total_cases,Population,Percent
Hong Kong,"11,987","7,496,988",0.1599
Hungary,"809,491","9,660,350",8.3795
Iceland,"8,051","341,250",2.3593
India,"31,695,958","1,380,004,385",2.2968
Indonesia,"3,440,396","273,523,621",1.2578
Iran,"3,903,519","83,992,953",4.6474
Iraq,"1,635,993","40,222,503",4.0674
Ireland,"302,074","4,937,796",6.1176
Isle of Man,0,"85,032",0
Israel,"875,801","8,655,541",10.1184
Italy,"4,355,348","60,461,828",7.2035
Jamaica,"53,237","2,961,161",1.7978
Japan,"937,346","126,476,458",0.7411
Jersey,0,"101,073",0
Jordan,"771,753","10,203,140",7.5639
Kazakhstan,"649,207","18,776,707",3.4575
Kenya,"203,680","53,771,300",0.3788
Kiribati,2,"119,446",0.0017
Kosovo,"108,465","1,932,774",5.6119
Kuwait,"398,538","4,270,563",9.3322
Kyrgyzstan,"163,846","6,524,191",2.5114
Laos,"6,566","7,275,556",0.0902
Latvia,"138,899","1,886,202",7.364
Lebanon,"562,527","6,825,442",8.2416
Lesotho,"13,603","2,142,252",0.635
Liberia,"5,396","5,057,677",0.1067
Libya,"253,436","6,871,287",3.6883
Liechtenstein,"3,085","38,137",8.0893
Lithuania,"283,016","2,722,291",10.3962
Luxembourg,"73,870","625,976",11.8008
Macao,0,"649,342",0
Madagascar,"42,665","27,691,019",0.1541
Malawi,"52,631","19,129,955",0.2751
Malaysia,"1,130,422","32,365,998",3.4926
Maldives,"77,547","540,542",14.3462
Mali,"14,587","20,250,834",0.072
Malta,"34,375","441,539",7.7853
Marshall Islands,4,"59,194",0.0068
Mauritania,"25,973","4,649,660",0.5586
Mauritius,"3,913","1,271,767",0.3077
Mexico,"2,854,992","128,932,753",2.2143
Micronesia (country),1,"115,021",0.0009
Moldova,"259,549","4,033,963",6.4341
Monaco,"2,891","39,244",7.3667
Mongolia,"164,155","3,278,292",5.0073
Montenegro,"102,092","628,062",16.2551
Montserrat,0,"4,999",0
Morocco,"629,717","36,910,558",1.7061
Mozambique,"123,541","31,255,435",0.3953
Myanmar,"302,665","54,409,794",0.5563
Namibia,"119,285","2,540,916",4.6946
Nauru,0,"10,834",0
Nepal,"697,370","29,136,808",2.3934
Netherlands,"1,897,729","17,134,873",11.0752
New Caledonia,0,"285,491",0
New Zealand,"2,878","4,822,233",0.0597
Nicaragua,"9,470","6,624,554",0.143
Niger,"5,637","24,206,636",0.0233
Nigeria,"174,315","206,139,587",0.0846
Niue,0,"1,618",0
North America,"41,795,785","592,072,204",7.0592
North Macedonia,"156,452","2,083,380",7.5095
Norway,"137,853","5,421,242",2.5428
Oceania,"85,654","42,677,809",0.2007
Oman,"296,835","5,106,622",5.8127
Pakistan,"1,039,695","220,892,331",0.4707
Palestine,"316,861","5,101,416",6.2112
Panama,"436,475","4,314,768",10.1158
Papua New Guinea,"17,717","8,947,027",0.198
Paraguay,"452,698","7,132,530",6.3469
Peru,"2,113,201","32,971,846",6.4091
Philippines,"1,597,689","109,581,085",1.458
Pitcairn,0,47,0
Poland,"2,883,029","37,846,605",7.6177
Portugal,"970,937","10,196,707",9.5221
Qatar,"226,390","2,881,060",7.8579
Romania,"1,083,341","19,237,682",5.6313
Russia,"6,207,513","145,934,460",4.2536
Rwanda,"71,346","12,952,209",0.5508
Saint Helena,0,"6,071",0
Saint Kitts and Nevis,594,"53,192",1.1167
Saint Lucia,"5,610","183,629",3.0551
Saint Vincent and the Grenadines,"2,291","110,947",2.0649
Samoa,3,"198,410",0.0015
San Marino,"5,130","33,938",15.1158
Sao Tome and Principe,"2,454","219,161",1.1197
Saudi Arabia,"526,814","34,813,867",1.5132
Senegal,"63,002","16,743,930",0.3763
Serbia,"722,221","6,804,596",10.6137
Seychelles,"18,189","98,340",18.496
Sierra Leone,"6,283","7,976,985",0.0788
Singapore,"65,102","5,850,343",1.1128
Sint Maarten (Dutch part),0,"42,882",0
Slovakia,"392,704","5,459,643",7.1929
Slovenia,"259,273","2,078,932",12.4715
Solomon Islands,20,"686,878",0.0029
Somalia,"15,456","15,893,219",0.0972
South Africa,"2,456,184","59,308,690",4.1414
South America,"35,549,124","430,759,772",8.2527
South Korea,"201,001","51,269,183",0.3921
South Sudan,"11,049","11,193,729",0.0987
Spain,"4,447,044","46,754,783",9.5114
Sri Lanka,"311,349","21,413,250",1.454
Sudan,"37,138","43,849,269",0.0847
Suriname,"25,402","586,634",4.3301
Sweden,"1,100,040","10,099,270",10.8923
Switzerland,"717,665","8,654,618",8.2923
Syria,"25,983","17,500,657",0.1485
Taiwan,"15,687","23,816,775",0.0659
Tajikistan,"15,082","9,537,642",0.1581
Tanzania,"1,017","59,734,213",0.0017
Thailand,"615,310","69,799,978",0.8815
Timor,"10,966","1,318,442",0.8317
Togo,"15,870","8,278,737",0.1917
Tonga,0,"105,697",0
Trinidad and Tobago,"38,930","1,399,491",2.7817
Tunisia,"595,532","11,818,618",5.0389
Turkey,"4,924,710","84,339,067",5.8392
Turkmenistan,0,"6,031,187",0
Turks and Caicos Islands,0,"38,718",0
Tuvalu,0,"11,792",0
Uganda,"94,195","45,741,000",0.2059
Ukraine,"2,334,433","43,733,759",5.3378
United Arab Emirates,"682,377","9,890,400",6.8994
United Kingdom,"5,907,594","67,886,004",8.7022
United States,"35,003,416","331,002,647",10.575
Uruguay,"381,569","3,473,727",10.9844
Uzbekistan,"130,216","33,469,199",0.3891
Vanuatu,4,"307,150",0.0013
Vatican,27,809,3.3375
Venezuela,"306,673","28,435,943",1.0785
Vietnam,"157,507","97,338,583",0.1618
Wallis and Futuna,0,"11,246",0
Yemen,"7,070","29,825,968",0.0237
Zambia,"196,293","18,383,956",1.0677
Zimbabwe,"109,546","14,862,927",0.737
